City,Country_code,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Preassure,Sea Level (ft)
los llanos de aridane,es,31.010140553542527,31.010140553542527,62.6,67.0,0.0,6.91,1012.0,
paamiut,gl,58.58913132646134,58.58913132646134,36.03,81.0,57.0,11.05,1032.0,1032.0
mataura,pf,-84.33965022726633,-84.33965022726633,54.0,87.0,96.0,10.0,1016.0,
arman,ru,55.44899340567258,55.44899340567258,32.58,76.0,13.0,2.28,1019.0,1019.0
hilo,us,11.811135529895509,11.811135529895509,71.96,61.0,90.0,3.44,1015.0,
rikitea,pf,-36.42795023329008,-36.42795023329008,76.98,73.0,100.0,11.25,1016.0,1016.0
hobart,au,-81.59477030874841,-81.59477030874841,61.84,48.0,75.0,11.5,1020.0,
dikson,ru,88.3129319047433,88.3129319047433,32.59,89.0,100.0,18.5,1000.0,1000.0
albany,au,-88.77136805214207,-88.77136805214207,51.22,65.0,79.0,1.28,1010.0,
port hardy,ca,44.41807817897393,44.41807817897393,47.1,93.0,90.0,5.75,1020.0,
alofi,nu,-22.060991459706273,-22.060991459706273,80.6,89.0,99.0,8.05,1010.0,
amuntai,id,-1.0534585966243384,-1.0534585966243384,81.36,84.0,100.0,2.73,1010.0,1010.0
qaanaaq,gl,77.21071057720425,77.21071057720425,28.11,79.0,97.0,8.25,1031.0,1031.0
caravelas,br,-18.81827201775235,-18.81827201775235,72.45,83.0,68.0,4.32,1012.0,1012.0
yellowknife,ca,85.31213342921279,85.31213342921279,18.75,58.0,75.0,11.5,1014.0,
ushuaia,ar,-73.14964320640453,-73.14964320640453,41.0,75.0,40.0,16.11,992.0,
port-cartier,ca,56.39551430078322,56.39551430078322,41.72,81.0,75.0,5.75,1007.0,
port alfred,za,-51.89637859391457,-51.89637859391457,65.41,72.0,100.0,1.9,1017.0,1017.0
suba,ph,9.782241226323379,9.782241226323379,82.53,72.0,74.0,12.37,1011.0,1011.0
lebu,cl,-37.39155912735091,-37.39155912735091,54.34,91.0,72.0,3.91,1018.0,1018.0
nanortalik,gl,56.90562479769389,56.90562479769389,34.07,90.0,32.0,7.81,1033.0,1033.0
parfenyevo,ru,59.04766191722604,59.04766191722604,42.26,67.0,100.0,7.29,1006.0,1006.0
arraial do cabo,br,-50.11607308867602,-50.11607308867602,73.27,79.0,82.0,8.61,1014.0,1014.0
cape town,za,-72.86730805196453,-72.86730805196453,55.92,94.0,0.0,6.91,1015.0,
banjar,id,-15.900617008271084,-15.900617008271084,86.0,62.0,20.0,10.36,1011.0,
bluff,nz,-72.56425297271991,-72.56425297271991,54.0,87.0,62.0,10.0,1016.0,
punta arenas,cl,-64.07802019661676,-64.07802019661676,41.0,87.0,40.0,4.61,995.0,
ambunti,pg,-4.201892197945213,-4.201892197945213,89.37,59.0,62.0,1.81,1008.0,1008.0
busselton,au,-76.02950941199732,-76.02950941199732,76.6,59.0,3.0,1.99,1019.0,
tasiilaq,gl,71.75595367303197,71.75595367303197,30.2,80.0,92.0,2.3,1031.0,
mana,gf,9.402196837979375,9.402196837979375,75.2,89.0,100.0,4.41,1010.0,1010.0
bandarbeyla,so,7.575785787225968,7.575785787225968,85.59,65.0,99.0,5.08,1013.0,1013.0
bosobolo,cd,4.477831193162331,4.477831193162331,72.03,92.0,100.0,0.31,1010.0,1010.0
rock sound,bs,25.225657292578475,25.225657292578475,75.78,76.0,81.0,19.93,1018.0,1018.0
the pas,ca,54.11846945635392,54.11846945635392,24.8,58.0,90.0,3.44,1020.0,
yerbogachen,ru,60.28539330430985,60.28539330430985,35.8,51.0,53.0,2.24,1023.0,1023.0
saskylakh,ru,84.28923229955112,84.28923229955112,33.44,87.0,99.0,7.58,1012.0,1012.0
kundiawa,pg,-6.077135752228401,-6.077135752228401,71.19,84.0,66.0,1.97,1011.0,1011.0
alice springs,au,-22.079918295828577,-22.079918295828577,74.53,20.0,0.0,10.36,1020.0,
cidreira,br,-53.32889736302501,-53.32889736302501,55.83,83.0,3.0,10.09,1018.0,1018.0
mehamn,no,74.78324981637209,74.78324981637209,26.6,68.0,75.0,20.71,1010.0,
provideniya,ru,60.748846663545834,60.748846663545834,33.8,75.0,75.0,4.47,1012.0,
hadishahr,ir,38.900331346008045,38.900331346008045,69.8,49.0,75.0,4.61,1016.0,
hermanus,za,-75.77159664395982,-75.77159664395982,54.0,95.0,20.0,1.01,1016.0,
tsaratanana,mg,-16.2074634944302,-16.2074634944302,79.23,65.0,33.0,9.82,1016.0,1016.0
the valley,ai,25.48261813922346,25.48261813922346,76.66,83.0,75.0,9.22,1014.0,
ilulissat,gl,85.76123799903482,85.76123799903482,30.2,80.0,86.0,5.61,1036.0,
sunrise manor,us,36.951904664434295,36.951904664434295,59.67,27.0,1.0,6.91,1014.0,
kapaa,us,24.59161848806255,24.59161848806255,71.6,83.0,1.0,4.68,1015.0,
castro,cl,-53.03039204400389,-53.03039204400389,55.63,92.0,31.0,6.29,1016.0,1016.0
port elizabeth,za,-61.198186674329435,-61.198186674329435,62.6,82.0,20.0,2.3,1016.0,
areni,am,39.33114836000877,39.33114836000877,69.8,49.0,75.0,4.61,1016.0,
bredasdorp,za,-87.15920033642978,-87.15920033642978,51.8,87.0,40.0,2.3,1015.0,
east london,za,-81.195716344313,-81.195716344313,64.4,72.0,0.0,2.3,1017.0,
kamenka,ru,67.45876064159961,67.45876064159961,44.01,63.0,100.0,7.58,1015.0,
neyshabur,ir,34.87642190690404,34.87642190690404,83.19,12.0,7.0,12.24,1014.0,1014.0
haines junction,ca,58.78053431480683,58.78053431480683,26.6,54.0,43.0,2.3,1015.0,
husavik,is,75.30266676753044,75.30266676753044,35.6,87.0,90.0,9.22,1029.0,
taipu,br,-5.394848264118366,-5.394848264118366,76.06,94.0,75.0,4.61,1010.0,
airai,pw,8.328354366693773,8.328354366693773,74.55,42.0,17.0,2.13,1011.0,1011.0
butaritari,ki,2.925523495202924,2.925523495202924,83.05,74.0,42.0,8.88,1009.0,1009.0
kodiak,us,39.67516039267795,39.67516039267795,44.6,81.0,90.0,17.27,1003.0,
kanepi,ee,58.05452682122754,58.05452682122754,39.06,75.0,20.0,8.05,1012.0,
ambagarh chauki,in,20.49840752923599,20.49840752923599,105.84,5.0,24.0,5.68,1009.0,1009.0
vitim,ru,58.850363064716674,58.850363064716674,32.0,69.0,90.0,7.0,1023.0,1023.0
hithadhoo,mv,-6.20474128819545,-6.20474128819545,82.83,65.0,81.0,0.58,1013.0,1013.0
bengkulu,id,-26.135457427294313,-26.135457427294313,83.71,74.0,77.0,6.73,1011.0,1011.0
yaring,th,7.995134290410434,7.995134290410434,87.8,70.0,20.0,8.05,1011.0,
jamestown,sh,-26.11598098678561,-26.11598098678561,63.21,55.0,1.0,5.75,1012.0,
fort-shevchenko,kz,44.03650535924169,44.03650535924169,59.77,55.0,97.0,9.4,1018.0,1018.0
hasaki,jp,26.668587671471556,26.668587671471556,70.66,56.0,75.0,13.8,1017.0,
dingle,ie,52.25971615416063,52.25971615416063,87.89,55.0,99.0,10.98,1011.0,1011.0
anloga,gh,4.785541027379651,4.785541027379651,82.4,89.0,20.0,2.3,1008.0,
leningradskiy,ru,89.16567850954738,89.16567850954738,23.07,82.0,45.0,8.93,1017.0,1017.0
kirakira,sb,-15.310568850945842,-15.310568850945842,81.99,71.0,89.0,7.92,1009.0,1009.0
saint-philippe,re,-62.168376033156434,-62.168376033156434,77.67,74.0,0.0,13.8,1017.0,
atuona,pf,1.2743129659761507,1.2743129659761507,80.08,74.0,44.0,13.58,1014.0,1014.0
meadow lake,ca,55.237790491025805,55.237790491025805,47.17,61.0,40.0,5.75,1014.0,
pangkalanbuun,id,-4.5427387014629375,-4.5427387014629375,88.83,59.0,74.0,4.14,1010.0,1010.0
dubbo,au,-30.293372930284846,-30.293372930284846,73.4,33.0,100.0,3.44,1022.0,
miyako,jp,40.36057829087565,40.36057829087565,63.27,56.0,99.0,4.23,1015.0,1015.0
mandalgovi,mn,45.24366806139483,45.24366806139483,45.79,27.0,23.0,20.67,1009.0,1009.0
sorland,no,72.39229396196583,72.39229396196583,36.27,75.0,40.0,8.05,1016.0,
olafsvik,is,62.68188339591259,62.68188339591259,42.26,83.0,46.0,6.78,1028.0,1028.0
arrecife,es,29.00105876605562,29.00105876605562,62.6,82.0,20.0,3.44,1012.0,
stephenville,ca,49.064493658492694,49.064493658492694,72.55,78.0,90.0,11.5,1008.0,
kaniv,ua,49.7561564374293,49.7561564374293,43.75,52.0,0.0,4.43,1020.0,1020.0
cabo san lucas,mx,9.875519245835733,9.875519245835733,70.34,77.0,29.0,15.21,1013.0,
kahului,us,34.115688613427935,34.115688613427935,71.11,83.0,40.0,4.61,1015.0,
saint george,bm,36.60567349963138,36.60567349963138,55.53,35.0,1.0,18.41,1015.0,
abha,sa,19.933802651317407,19.933802651317407,64.4,52.0,40.0,5.75,1024.0,
taloqan,af,36.55679894305905,36.55679894305905,83.52,23.0,2.0,3.62,1014.0,1014.0
tezu,in,28.37081593633394,28.37081593633394,101.5,15.0,19.0,5.77,1010.0,1010.0
hanzhong,cn,32.7165399220043,32.7165399220043,70.05,39.0,99.0,5.64,1021.0,1021.0
tiksi,ru,72.01032033563808,72.01032033563808,23.27,84.0,100.0,16.96,1013.0,1013.0
tuatapere,nz,-52.565421291387736,-52.565421291387736,54.0,87.0,92.0,8.99,1016.0,
nouadhibou,mr,23.53792019213421,23.53792019213421,64.4,94.0,0.0,12.66,1011.0,
zaton,ru,53.25946206434739,53.25946206434739,64.4,27.0,40.0,24.61,1006.0,
